UnitName	Wolf's Dragoons
#Index	PLT_Name	PLT_Nick	CO_Name	CO_Nick	BN_Name	BN_Nick	REG_Name	REG_Nick	Rank	Name	Quality	Unit	State	Notes
36	Fire Lance		2nd Provisional Company		-		Alpha		-	Douglas Dominguez	2	Quickdraw	N	
37	Heavy Lance		2nd Provisional Company		-		Alpha		Sergeant	Melissa "Missy" Melman	3	Enforcer	N	
38	Heavy Lance		2nd Provisional Company		-		Alpha		-	Maurice "Tripper" Shipman	3	Hoplite	N	
39	Heavy Lance		2nd Provisional Company		-		Alpha		-	Phillip Burrows	3	Thunderbolt	N	
40	Heavy Lance		2nd Provisional Company		-		Alpha		Lieutenant	John McDonald	4	Warhammer	N	
41	Command Lance		3rd Provisional Company		-		-		Major	Stanford Blake	4	Clint	N	
42	Command Lance		3rd Provisional Company		-		Alpha		Sergeant	Thomas Dominguez	4	Firefly	N	
43	Command Lance		3rd Provisional Company		-		Alpha		-	Hazekiah Walden	3	Falcon	N	
44	Command Lance		3rd Provisional Company		-		Alpha		Lieutenant	Stanley "Texas" Havelock	4	Ostscout	N	
45	Medium Lance		3rd Provisional Company		-		Alpha		Lieutenant	Miriam Rappaport	4	Hoplite	N	
46	Medium Lance		3rd Provisional Company		-		Alpha		-	Keith Gatlin	3	Commando	N	
47	Medium Lance		3rd Provisional Company		-		Alpha		-	Malcolm Spence	3	Cicada	N	
48	Medium Lance		3rd Provisional Company		-		Alpha		Sergeant	Erica Caputo	3	Phoenix Hawk	N	
49	Recon Lance		3rd Provisional Company		-		Alpha		-	James Walters	3	Firefly	N	
50	Recon Lance		3rd Provisional Company		-		Alpha		-	Percival Rummel	3	Javelin	N	
51	Recon Lance		3rd Provisional Company		-		Alpha		Captain	Kristen Stane	4	Phoenix Hawk	N	
52	Recon Lance		3rd Provisional Company		-		Alpha		Lieutenant	Constantine Ellerby	3	Valkyrie	N	
53	Fire Lance		5th Provisional Company		-		Alpha		-	Donal Cameron	3	Javelin	N	
54	Fire Lance		5th Provisional Company		-		Alpha		-	Ramon Escalero	3	Hornet	N	
55	Fire Lance		5th Provisional Company		-		Alpha		Lieutenant	Marlon Snyder	3	Valkyrie	N	
56	Fire Lance		5th Provisional Company		-		Alpha		Captain	Amy Laskowski	4	Whitworth	N	
57	Scout Lance		5th Provisional Company		-		Alpha		Captain	Douglas MacElroy	4	Firefly	N	
58	Scout Lance		5th Provisional Company		-		Alpha		-	Jason MacAuliffe	3	Stinger	N	
59	Scout Lance		5th Provisional Company		-		Alpha		-	Donald McDonald	3	Hornet	N	
60	Scout Lance		5th Provisional Company		-		Alpha		Lieutenant	Rhonda Himmel	4	Wasp	N	
61	Command Lance		5th Provisional Company		-		Alpha		Lieutenant	Candace "Tigress" Halstron	4	Quickdraw	N	"Commands Medium Lance", but no medium lance in 5th provisional company.
62	Command Lance		5th Provisional Company		-		Alpha		Lieutenant	Jobeth Hogan	4	Hornet	N	
63	Command Lance		5th Provisional Company		-		Alpha		Sergeant	Gina Chandler	3	Hornet	N	
64	Command Lance		5th Provisional Company		-		Alpha		Major	Patrick Chan	4	Valkyrie	N	
65	Fire Lance		1st Provisional Company		-		Alpha		-	Jennifer Huan	4	Clint	N	
66	Fire Lance		1st Provisional Company		-		Alpha		-	Bradley Turlow	4	Vulcan	N	
67	Fire Lance		1st Provisional Company		-		Alpha		Lieutenant	Ivan Druzinski	4	Wasp	N	
68	Fire Lance		1st Provisional Company		-		Alpha		Captain	Lauren Waller	4	Wolverine	N	
69	Command Lance		1st Provisional Company		-		Alpha		-	Kerri Tennler	3	Grasshopper	N	
70	Command Lance		1st Provisional Company		-		Alpha		Lieutenant	Charles MacGuyver	4	Shadow Hawk	N	
71	Command Lance		1st Provisional Company		-		Alpha		Lieutenant	Corwin Grimaldi	4	Assassin	N	
72	Command Lance		1st Provisional Company		-		Alpha		Lieutenant	Thomas West	4	Whitworth	N	
73	Medium Lance		1st Provisional Company		-		Alpha		Major	Kelly Yukinov	4	Phoenix Hawk	N	Originally in the command lance, but the medium lance was short a mech and the command lance overstrength by 1.
74	Medium Lance		1st Provisional Company		-		Alpha		Sergeant	Deacon "Deke" Smith	4	Hornet	N	
75	Medium Lance		1st Provisional Company		-		Alpha		-	Theresa Jones	3	Phoenix Hawk LAM	N	
76	Medium Lance		1st Provisional Company		-		Alpha		-	Calvin Wakeman	3	Panther	N	
														
78	Command		-		-		Alpha		Captain	Dechan Fraser	4	Shadow Hawk	N	On Special Assignment
79	Recon		-		-		Alpha		-	Jenette Rand	3	Dervish	N	On Special Assignment
